date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:06	130261/130261	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2012:26:06%20GMT	https://edu.viettel.vn/vtu-longdien-thcsnguyenhue	D:/My%20Web%20Sites/NH/edu.viettel.vn/vtu-longdien-thcsnguyenhue.html	(from )
19:26:06	176/176	---MCZ	200	added ('OK')	text/plain	date:Thu,%2005%20Dec%202024%2012:26:06%20GMT	https://edu.viettel.vn/robots.txt		(from )
19:26:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Dec%202024%2012:26:07%20GMT	http://edu.viettel.vn/	D:/My%20Web%20Sites/NH/edu.viettel.vn/index.html	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:06	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2262a04af6-10be%22	https://edu.viettel.vn/App/images/favicon.ico	D:/My%20Web%20Sites/NH/edu.viettel.vn/App/images/favicon.ico	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:06	436431/436431	---MCZ	200	added ('OK')	text/css	etag:W/%22638d98ad-6a8cf%22	https://edu.viettel.vn/css/1.5214118/58751/2148/style.css?4118	D:/My%20Web%20Sites/NH/edu.viettel.vn/css/1.5214118/58751/2148/stylede3c.css	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:07	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%225f7ad05e-e7d0%22	https://edu.viettel.vn/3rdparty/font-awesome-5.15.1/css/all.min.css	D:/My%20Web%20Sites/NH/edu.viettel.vn/3rdparty/font-awesome-5.15.1/css/all.min.css	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:07	254751/254751	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664440e9-3e31f%22	https://edu.viettel.vn/publish/js/lib2-1.521.min.js?4118	D:/My%20Web%20Sites/NH/edu.viettel.vn/publish/js/lib2-1.521.minde3c.js	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:07	80300/80300	---M--	200	added ('OK')	application/octet-stream	etag:%225f7ad05e-139ac%22	https://edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-solid-900.woff2	D:/My%20Web%20Sites/NH/edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-solid-900.woff2	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:07	78460/78460	---M--	200	added ('OK')	application/octet-stream	etag:%225f7ad05e-1327c%22	https://edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-brands-400.woff2	D:/My%20Web%20Sites/NH/edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-brands-400.woff2	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
19:26:07	13548/13548	---M--	200	added ('OK')	application/octet-stream	etag:%225f7ad05e-34ec%22	https://edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-regular-400.woff2	D:/My%20Web%20Sites/NH/edu.viettel.vn/3rdparty/font-awesome-5.15.1/webfonts/fa-regular-400.woff2	(from https://edu.viettel.vn/vtu-longdien-thcsnguyenhue)
